country_short;website;fax_stg;group;name;twitter;url;country;image;email;group_short;facebook;party;id;fax_bxl;score
gr;http://www.androulakisnikos.gr/;33388179340;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Nikos ANDROULAKIS;androulakisnick;http://www.europarl.europa.eu/meps/en/125110/NIKOS_ANDROULAKIS_home.html;Greece;http://www.europarl.europa.eu/mepphoto/125110.jpg;nikos.androulakis@europarl.europa.eu;sd;;Panhellenic Socialist Movement - Olive Tree;125110;3222849340;0.3
pl;;33388179210;European Conservatives and Reformists Group;Andrzej DUDA;AndrzejDuda;http://www.europarl.europa.eu/meps/en/124899/ANDRZEJ_DUDA_home.html;Poland;http://www.europarl.europa.eu/mepphoto/124899.jpg;andrzej.duda@europarl.europa.eu;ecr;;Prawo i Sprawiedliwo__;124899;3222849210;0.1
es;;33388179692;Confederal Group of the European United Left - Nordic Green Left;Ángela VALLINA;AngelaVallina;http://www.europarl.europa.eu/meps/en/125050/ANGELA_VALLINA_home.html;Spain;http://www.europarl.europa.eu/mepphoto/125050.jpg;angela.vallina@europarl.europa.eu;guengl;;Izquierda Unida;125050;3222849692;0.2
at;;33388179851;Group of the Alliance of Liberals and Democrats for Europe;Angelika MLINAR;AngelikaMlinar;http://www.europarl.europa.eu/meps/en/125026/ANGELIKA_MLINAR_home.html;Austria;http://www.europarl.europa.eu/mepphoto/125026.jpg;angelika.mlinar@europarl.europa.eu;aldeadle;;NEOS – Das Neue Österreich;125026;3222849851;0.3
de;http://www.angelika-niebler.de/;33388179390;Group of the European People's Party (Christian Democrats);Angelika NIEBLER;ANiebler;http://www.europarl.europa.eu/meps/en/4289/ANGELIKA_NIEBLER_home.html;Germany;http://www.europarl.europa.eu/mepphoto/4289.jpg;angelika.niebler@europarl.europa.eu;epp;https://www.facebook.com/aniebler;Christlich-Soziale Union in Bayern e.V.;4289;3222849390;0.8
nl;https://europa.partijvoordedieren.nl;33388179629;Confederal Group of the European United Left - Nordic Green Left;Anja HAZEKAMP;anjahazekamp;http://www.europarl.europa.eu/meps/en/125023/ANJA_HAZEKAMP_home.html;Netherlands;http://www.europarl.europa.eu/mepphoto/125023.jpg;anja.hazekamp@europarl.europa.eu;guengl;https://www.facebook.com/anja.hazekamp;Partij voor de Dieren;125023;3222849629;0.2
se;http://www.sap.se/anna;33388179527;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Anna HEDH;AnnaHedh;http://www.europarl.europa.eu/meps/en/28131/ANNA_HEDH_home.html;Sweden;http://www.europarl.europa.eu/mepphoto/28131.jpg;anna.hedh@europarl.europa.eu;sd;https://www.facebook.com/ahedh;Arbetarepartiet- Socialdemokraterna;28131;3222849527;0.3
se;http://www.moderat.se/annamaria;33388179128;Group of the European People's Party (Christian Democrats);Anna Maria CORAZZA BILDT;AnnaMariaCB;http://www.europarl.europa.eu/meps/en/96674/ANNA+MARIA_CORAZZA+BILDT_home.html;Sweden;http://www.europarl.europa.eu/mepphoto/96674.jpg;annamaria.corazzabildt@europarl.europa.eu;epp;https://www.facebook.com/annamariacorazzabildt;Moderaterna;96674;3222849128;0.8
sk;http://zaborska.sk/;33388179923;Group of the European People's Party (Christian Democrats);Anna ZÁBORSKÁ;AnnaZaborska;http://www.europarl.europa.eu/meps/en/23894/ANNA_ZABORSKA_home.html;Slovakia;http://www.europarl.europa.eu/mepphoto/23894.jpg;anna.zaborska@europarl.europa.eu;epp;https://www.facebook.com/www.zaborska.sk;Kres_anskodemokratické hnutie;23894;3222849923;0.8
gb;http://www.anneliesedoddsmep.uk/;33388179273;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Anneliese DODDS;AnnelieseDodds;http://www.europarl.europa.eu/meps/en/124969/ANNELIESE_DODDS_home.html;United Kingdom;http://www.europarl.europa.eu/mepphoto/124969.jpg;anneliese.dodds@europarl.europa.eu;sd;;Labour Party;124969;3222849273;0.3
nl;;33388179129;Confederal Group of the European United Left - Nordic Green Left;Anne-Marie MINEUR;AnneMarieMineur;http://www.europarl.europa.eu/meps/en/125037/ANNE-MARIE_MINEUR_home.html;Netherlands;http://www.europarl.europa.eu/mepphoto/125037.jpg;anne-marie.mineur@europarl.europa.eu;guengl;;Socialistische Partij;125037;3222849129;0.2
nl;https://www.cda.nl/schreijer/;33388179538;Group of the European People's Party (Christian Democrats);Annie SCHREIJER-PIERIK;AnnieSchreijer;http://www.europarl.europa.eu/meps/en/125030/ANNIE_SCHREIJER-PIERIK_home.html;Netherlands;http://www.europarl.europa.eu/mepphoto/125030.jpg;annie.schreijer-pierik@europarl.europa.eu;epp;https://www.facebook.com/pages/Annie-Schreijer-Pierik/124159764294761?fref=ts;Christen Democratisch Appèl;125030;3222849538;0.8
ie;;33388179322;Confederal Group of the European United Left - Nordic Green Left;Liadh NÍ RIADA;anpreachan;http://www.europarl.europa.eu/meps/en/124987/LIADH_NI+RIADA_home.html;Ireland;http://www.europarl.europa.eu/mepphoto/124987.jpg;liadh.niriada@europarl.europa.eu;guengl;;Sinn Féin;124987;3222849322;0.2
gb;;33388179106;European Conservatives and Reformists Group;Anthea McINTYRE;anthea_mcintyre;http://www.europarl.europa.eu/meps/en/111011/ANTHEA_MCINTYRE_home.html;United Kingdom;http://www.europarl.europa.eu/mepphoto/111011.jpg;anthea.mcintyre@europarl.europa.eu;ecr;http://www.facebook.com/anthea.mcintyre;Conservative Party;111011;3222849106;0.1
it;http://www.antoniotajani.it/;33388179750;Group of the European People's Party (Christian Democrats);Antonio TAJANI;Antonio_Tajani;http://www.europarl.europa.eu/meps/en/2187/ANTONIO_TAJANI_home.html;Italy;http://www.europarl.europa.eu/mepphoto/2187.jpg;antonio.tajani@europarl.europa.eu;epp;https://www.facebook.com/AntonioTajaniOfficial;Forza Italia;2187;3222849750;0.8
it;http://antoniopanzeri.it/home/;33388179349;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Pier Antonio PANZERI;AntonioPanzeri;http://www.europarl.europa.eu/meps/en/28365/PIER+ANTONIO_PANZERI_home.html;Italy;http://www.europarl.europa.eu/mepphoto/28365.jpg;pierantonio.panzeri@europarl.europa.eu;sd;https://www.facebook.com/AntonioPanzeri;Partito Democratico;28365;3222849349;0.3
fr;http://www.arnaud-danjean.fr/;33388179852;Group of the European People's Party (Christian Democrats);Arnaud DANJEAN;ArnaudDanjean;http://www.europarl.europa.eu/meps/en/96747/ARNAUD_DANJEAN_home.html;France;http://www.europarl.europa.eu/mepphoto/96747.jpg;arnaud.danjean@europarl.europa.eu;epp;https://www.facebook.com/pages/Arnaud-Danjean-page-officielle/136970386414559;Union pour un Mouvement Populaire;96747;3222849852;0.8
de;;33388179296;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Arne LIETZ;ArneLietz;http://www.europarl.europa.eu/meps/en/124839/ARNE_LIETZ_home.html;Germany;http://www.europarl.europa.eu/mepphoto/124839.jpg;arne.lietz@europarl.europa.eu;sd;;Sozialdemokratische Partei Deutschlands;124839;3222849296;0.3
fr;;33388179525;Group of the European People's Party (Christian Democrats);Anne SANDER;ASanderMEP;http://www.europarl.europa.eu/meps/en/24594/ANNE_SANDER_home.html;France;http://www.europarl.europa.eu/mepphoto/24594.jpg;anne.sander@europarl.europa.eu;epp;https://www.facebook.com/anne.sander.754;Union pour un Mouvement Populaire;24594;3222849525;0.8
gb;http://www.ashleyfoxmep.com/;33388179677;European Conservatives and Reformists Group;Ashley FOX;Ashleyfoxmep;http://www.europarl.europa.eu/meps/en/96957/ASHLEY_FOX_home.html;United Kingdom;http://www.europarl.europa.eu/mepphoto/96957.jpg;ashley.fox@europarl.europa.eu;ecr;;Conservative Party;96957;3222849677;0.1
de;http://www.axel-voss-europa.de/;33388179302;Group of the European People's Party (Christian Democrats);Axel VOSS;AxelVossMdEP;http://www.europarl.europa.eu/meps/en/96761/AXEL_VOSS_home.html;Germany;http://www.europarl.europa.eu/mepphoto/96761.jpg;axel.voss@europarl.europa.eu;epp;https://www.facebook.com/AxelVossMdEP;Christlich Demokratische Union Deutschlands;96761;3222849302;0.8
es;;33388179398;Group of the European People's Party (Christian Democrats);Pilar AYUSO;ayuso_pilar;http://www.europarl.europa.eu/meps/en/4319/PILAR_AYUSO_home.html;Spain;http://www.europarl.europa.eu/mepphoto/4319.jpg;pilar.ayuso@europarl.europa.eu;epp;https://www.facebook.com/pilar.ayuso1;Partido Popular;4319;3222849398;0.8
fr;;33388179412;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Guillaume BALAS;BalasGuillaume;http://www.europarl.europa.eu/meps/en/124744/GUILLAUME_BALAS_home.html;France;http://www.europarl.europa.eu/mepphoto/124744.jpg;guillaume.balas@europarl.europa.eu;sd;;Parti socialiste;124744;3222849412;0.3
lt;http://www.balcytis.lt;33388179427;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Zigmantas BAL_YTIS;balcytis;http://www.europarl.europa.eu/meps/en/96680/ZIGMANTAS_BALCYTIS_home.html;Lithuania;http://www.europarl.europa.eu/mepphoto/96680.jpg;zigmantas.balcytis@europarl.europa.eu;sd;https://www.facebook.com/home.php#!/zigmantas.balcytis;Lietuvos socialdemokrat_ partija;96680;3222849427;0.3
pl;http://www.kudrycka.pl/;33388179519;Group of the European People's Party (Christian Democrats);Barbara KUDRYCKA;BarbaraKudrycka;http://www.europarl.europa.eu/meps/en/28284/BARBARA_KUDRYCKA_home.html;Poland;http://www.europarl.europa.eu/mepphoto/28284.jpg;barbara.kudrycka@europarl.europa.eu;epp;https://www.facebook.com/BarbaraKudrycka;Platforma Obywatelska;28284;3222849519;0.8
be;http://www.bartstaes.be;33388179642;Group of the Greens/European Free Alliance;Bart STAES;bartstaes;http://www.europarl.europa.eu/meps/en/4751/BART_STAES_home.html;Belgium;http://www.europarl.europa.eu/mepphoto/4751.jpg;bart.staes@europarl.europa.eu;greensefa;https://www.facebook.com/bart.staes1?fref=ts;Groen;4751;3222849642;0.1
nl;http://www.baseickhout.eu;33388179365;Group of the Greens/European Free Alliance;Bas EICKHOUT;baseickhout;http://www.europarl.europa.eu/meps/en/96725/BAS_EICKHOUT_home.html;Netherlands;http://www.europarl.europa.eu/mepphoto/96725.jpg;bas.eickhout@europarl.europa.eu;greensefa;https://www.facebook.com/bas.eickhout;GroenLinks;96725;3222849365;0.1
pl;;33388179799;European Conservatives and Reformists Group;Beata GOSIEWSKA;BeataGosiewska;http://www.europarl.europa.eu/meps/en/124900/BEATA_GOSIEWSKA_home.html;Poland;http://www.europarl.europa.eu/mepphoto/124900.jpg;beata.gosiewska@europarl.europa.eu;ecr;;Prawo i Sprawiedliwo__;124900;3222849799;0.1
de;http://www.beatrixvonstorch.de;33388179836;European Conservatives and Reformists Group;Beatrix von STORCH;Beatrix_vStorch;http://www.europarl.europa.eu/meps/en/124825/BEATRIX_VON+STORCH_home.html;Germany;http://www.europarl.europa.eu/mepphoto/124825.jpg;beatrix.vonstorch@europarl.europa.eu;ecr;;Alternative für Deutschland;124825;3222849836;0.1
es;;33388179312;Group of the Alliance of Liberals and Democrats for Europe;Beatriz BECERRA BASTERRECHEA;beatrizbeccerab;http://www.europarl.europa.eu/meps/en/125040/BEATRIZ_BECERRA+BASTERRECHEA_home.html;Spain;http://www.europarl.europa.eu/mepphoto/125040.jpg;beatriz.becerra@europarl.europa.eu;aldeadle;;Unión, Progreso y Democracia;125040;3222849312;0.3
it;;33388179924;Europe of Freedom and Direct Democracy Group;Tiziana BEGHIN;beghin_t;http://www.europarl.europa.eu/meps/en/124777/TIZIANA_BEGHIN_home.html;Italy;http://www.europarl.europa.eu/mepphoto/124777.jpg;tiziana.beghin@europarl.europa.eu;efd;;Movimento 5 Stelle;124777;3222849924;0.1
dk;;33388179125;Group of the European People's Party (Christian Democrats);Bendt BENDTSEN;BendtEU;http://www.europarl.europa.eu/meps/en/96705/BENDT_BENDTSEN_home.html;Denmark;http://www.europarl.europa.eu/mepphoto/96705.jpg;bendt.bendtsen@europarl.europa.eu;epp;https://www.facebook.com/bendtbendtsen;Det Konservative Folkeparti;96705;3222849125;0.8
fr;;33388179220;Non-attached Members;Bernard MONOT;bernard_monot;http://www.europarl.europa.eu/meps/en/124761/BERNARD_MONOT_home.html;France;http://www.europarl.europa.eu/mepphoto/124761.jpg;bernard.monot@europarl.europa.eu;ni;;Front national;124761;3222849220;0.1
de;http://www.bernd-lange.de;33388179555;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Bernd LANGE;berndlange;http://www.europarl.europa.eu/meps/en/1909/BERND_LANGE_home.html;Germany;http://www.europarl.europa.eu/mepphoto/1909.jpg;bernd.lange@europarl.europa.eu;sd;https://www.facebook.com/bernd.lange.europa;Sozialdemokratische Partei Deutschlands;1909;3222849555;0.3
de;http://bernd-lucke.de/;33388179268;European Conservatives and Reformists Group;Bernd LUCKE;BerndLucke;http://www.europarl.europa.eu/meps/en/124820/BERND_LUCKE_home.html;Germany;http://www.europarl.europa.eu/mepphoto/124820.jpg;bernd.lucke@europarl.europa.eu;ecr;https://www.facebook.com/BerndLuckeMdEP;Alternative für Deutschland;124820;3222849268;0.1
hr;http://www.biljanaborzan.eu/hr/;33388179932;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Biljana BORZAN;BiljanaBorzan;http://www.europarl.europa.eu/meps/en/112748/BILJANA_BORZAN_home.html;Croatia;http://www.europarl.europa.eu/mepphoto/112748.jpg;biljana.borzan@europarl.europa.eu;sd;;Socijaldemokratska partija Hrvatske;112748;3222849932;0.3
de;http://www.birgit-sippel.de;33388179559;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Birgit SIPPEL;BirgitSippelMEP;http://www.europarl.europa.eu/meps/en/96932/BIRGIT_SIPPEL_home.html;Germany;http://www.europarl.europa.eu/mepphoto/96932.jpg;birgit.sippel@europarl.europa.eu;sd;https://www.facebook.com/BirgitSippel?ref=hl;Sozialdemokratische Partei Deutschlands;96932;3222849559;0.3
pl;;33388179653;European Conservatives and Reformists Group;Stanis_aw O_ÓG;biuroposelskie;http://www.europarl.europa.eu/meps/en/124897/STANISLAW_OZOG_home.html;Poland;http://www.europarl.europa.eu/mepphoto/124897.jpg;stanislaw.ozog@europarl.europa.eu;ecr;;Prawo i Sprawiedliwo__;124897;3222849653;0.1
pl;http://www.liberadzki.pl/;33388179423;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Bogus_aw LIBERADZKI;BLiberadzki;http://www.europarl.europa.eu/meps/en/23768/BOGUSLAW_LIBERADZKI_home.html;Poland;http://www.europarl.europa.eu/mepphoto/23768.jpg;boguslaw.liberadzki@europarl.europa.eu;sd;;Sojusz Lewicy Demokratycznej;23768;3222849423;0.3
de;http://www.barbara-lochbihler.de;33388179392;Group of the Greens/European Free Alliance;Barbara LOCHBIHLER;blochbihler;http://www.europarl.europa.eu/meps/en/96728/BARBARA_LOCHBIHLER_home.html;Germany;http://www.europarl.europa.eu/mepphoto/96728.jpg;barbara.lochbihler@europarl.europa.eu;greensefa;https://www.facebook.com/profile.php?id=100001709936705;Bündnis 90/Die Grünen;96728;3222849392;0.1
se;;33388179768;Group of the Greens/European Free Alliance;Bodil CEBALLOS;BodilCeballos;http://www.europarl.europa.eu/meps/en/124993/BODIL_CEBALLOS_home.html;Sweden;http://www.europarl.europa.eu/mepphoto/124993.jpg;bodil.ceballos@europarl.europa.eu;greensefa;https://www.facebook.com/bodil.ceballos;Miljöpartiet de gröna;124993;3222849768;0.1
it;http://www.marioborghezio.org;33388179704;Non-attached Members;Mario BORGHEZIO;BorrogohezioM;http://www.europarl.europa.eu/meps/en/21817/MARIO_BORGHEZIO_home.html;Italy;http://www.europarl.europa.eu/mepphoto/21817.jpg;mario.borghezio@europarl.europa.eu;ni;;Lega Nord;21817;3222849704;0.1
it;http://www.brandobenifei.it/;33388179644;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Brando BENIFEI;brandobenifei;http://www.europarl.europa.eu/meps/en/124867/BRANDO_BENIFEI_home.html;Italy;http://www.europarl.europa.eu/mepphoto/124867.jpg;brando.benifei@europarl.europa.eu;sd;;Partito Democratico;124867;3222849644;0.3
sk;http://branislavskripek.sk/;33388179509;European Conservatives and Reformists Group;Branislav _KRIPEK;BranoSkripek;http://www.europarl.europa.eu/meps/en/124927/BRANISLAV_SKRIPEK_home.html;Slovakia;http://www.europarl.europa.eu/mepphoto/124927.jpg;branislav.skripek@europarl.europa.eu;ecr;;OBY_AJNÍ _UDIA;124927;3222849509;0.1
ie;https://brianhayesdublin.wordpress.com/;33388179275;Group of the European People's Party (Christian Democrats);Brian HAYES;brianhayesMEP;http://www.europarl.europa.eu/meps/en/118658/BRIAN_HAYES_home.html;Ireland;http://www.europarl.europa.eu/mepphoto/118658.jpg;brian.hayes@europarl.europa.eu;epp;https://www.facebook.com/BrianHayesFG;Fine Gael Party;118658;3222849275;0.8
fr;;33388179286;Group of the European People's Party (Christian Democrats);Brice HORTEFEUX;BriceHortefeux;http://www.europarl.europa.eu/meps/en/5565/BRICE_HORTEFEUX_home.html;France;http://www.europarl.europa.eu/mepphoto/5565.jpg;brice.hortefeux@europarl.europa.eu;epp;https://www.facebook.com/bricehortefeux;Union pour un Mouvement Populaire;5565;3222849286;0.8
fr;http://www.gollnisch.com;33388179265;Non-attached Members;Bruno GOLLNISCH;brunogollnisch;http://www.europarl.europa.eu/meps/en/1164/BRUNO_GOLLNISCH_home.html;France;http://www.europarl.europa.eu/mepphoto/1164.jpg;bruno.gollnisch@europarl.europa.eu;ni;http://www.facebook.com/pages/BRUNO-GOLLNISCH/10150116023785282;Front national;1164;3222849265;0.1
de;http://www.burkhard-balz.eu;33388179119;Group of the European People's Party (Christian Democrats);Burkhard BALZ;buba0769;http://www.europarl.europa.eu/meps/en/96997/BURKHARD_BALZ_home.html;Germany;http://www.europarl.europa.eu/mepphoto/96997.jpg;burkhard.balz@europarl.europa.eu;epp;https://www.facebook.com/burkhard.balz;Christlich Demokratische Union Deutschlands;96997;3222849119;0.8
de;http://www.reinhardbuetikofer.eu;33388179816;Group of the Greens/European Free Alliance;Reinhard BÜTIKOFER;bueti;http://www.europarl.europa.eu/meps/en/96739/REINHARD_BUTIKOFER_home.html;Germany;http://www.europarl.europa.eu/mepphoto/96739.jpg;reinhard.buetikofer@europarl.europa.eu;greensefa;;Bündnis 90/Die Grünen;96739;3222849816;0.1
it;;33388179847;Non-attached Members;Gianluca BUONANNO;BuonannoG;http://www.europarl.europa.eu/meps/en/124869/GIANLUCA_BUONANNO_home.html;Italy;http://www.europarl.europa.eu/mepphoto/124869.jpg;gianluca.buonanno@europarl.europa.eu;ni;;Lega Nord;124869;3222849847;0.1
